Table,AP Delivery Zone ID,Lodgement Zone,Lodgement Zone State,To Postcode,Destination Zone Code,Destination Zone State,Description,Postcode Delivery Zone,State Classification,State Area,Postcode Delivery Zone Description
Delivery_Zone,DZ0001,V0,VIC,242,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,243,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,244,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,245,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,246,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,247,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,248,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,249,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,250,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,251,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,252,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,253,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,254,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,255,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,256,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,257,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,258,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,259,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,260,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,261,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,262,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,263,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,264,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,265,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
